NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Child credit,1998,,,3525,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1998,,,2485,,Commerce and housing
Housing & Community,"Education, training, employment, and social services",Credit for disabled access expenditures,1998,,15,30,,Income security
Education,"Education, training, employment, and social services",Credit for holders of zone academy bonds,1998,,0,,,Energy
Science,"General science, space, and technology",Credit for increasing research activities,1998,,2095,30,,Income security
Housing & Community,Commerce and Housing,Credit for low-income housing investments,1998,,2340,780,,Income security
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1998,,,225,,Community and regional development
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1998,,970,1910,,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),1998,,610,1950,,Natural resources and environment
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",1998,,1190,17390,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1998,,,3615,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1998,,,51700,,"Education, training, employment, and social services"
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1998,,,32795,,International affairs
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1998,,,17770,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of student-loan interest,1998,,,70,,Energy
Food & Agriculture,Agriculture,Deferral of gain on sale of farm refiners,1998,,10,,,Health
Commerce,International affairs,Deferral of income from controlled foreign corporations,1998,,5500,,,Commerce and housing
Commerce,Commerce and Housing,Deferral of income from installment sales,1998,Deferral of income from post-1987 installment sales,255,720,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1998,,,965,,Natural resources and environment
Transportation,Transportation,Deferral of tax on shipping companies,1998,,15,,,Commerce and housing credit
Commerce,International affairs,Deferred taxes for financial firms on certain income earned overseas,1998,,400,,,Community and regional development
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1998,,,6351,,Veterans benefits and services
Education,"Education, training, employment, and social services",Education Individual Retirement Accounts,1998,,,20,,Veterans benefits and services
Education,"Education, training, employment, and social services",Employer provided child care exclusion,1998,Exclusion of employer provided child care,,1325,,Income security
Housing & Community,Community and regional development,"Empowerment zones, the DC enterprise zone, and renewal communities",1998,Empowerment zones,135,155,,Income security
Energy & Environment,Energy,Enhanced oil recovery credit,1998,,130,10,,Social Security and Medicare
Energy & Environment,Energy,Exception from passive loss limitation for working interests in oil and gas properties,1998,,,30,,Social Security
Housing & Community,Commerce and Housing,"Exception from passive loss rules for $25,000 of rental loss",1998,,,4735,,Income security
Housing & Community,Commerce and Housing,Exceptions from imputed interest rules,1998,,,155,,Social Security
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1998,,70,,,Income security
Energy & Environment,Energy,"Excess of percentage over cost depletion, fuels",1998,,200,50,,Transportation
Energy & Environment,Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",1998,,180,45,,Income security
Transportation,Transportation,Exclusion for employer-provided transit passes,1998,,,70,,Natural resources and environment
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1998,,,2095,,"Education, training, employment, and social services"
Housing & Community,"Education, training, employment, and social services",Exclusion of certain foster care payments,1998,,,35,,Income security
Energy & Environment,Energy,Exclusion of conservation subsidies provided by public utilities,1998,Exclusion from income of conservation subsidies provided by public utilities,,80,,Income security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1998,,,620,,Commerce and housing
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1998,,,67920,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,1998,,,215,,Natural resources and environment
Veterans Benefits,Veterans' benefits and services,Exclusion of GI bill benefits,1998,,,65,,Commerce and housing
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1998,,,1990,,"Education, training, employment, and social services"
Commerce,International affairs,Exclusion of income of foreign sales corporations,1998,,2150,,,Commerce and housing
Housing & Community,Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",1998,,180,515,,GENERAL PURPOSE FISCAL ASSISTANCE
Education,"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,1998,,145,415,,Commerce and housing
Energy & Environment,Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",1998,,115,325,,Commerce and housing credit
Energy & Environment,Energy,Exclusion of interest on energy facility bonds,1998,,30,80,,Community and Regional Development
Medicare & Health,Health,Exclusion of interest on hospital construction bonds,1998,,305,855,,
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1998,,200,13265,,Energy
Housing & Community,Commerce and Housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,1998,,225,635,,"Education, training, employment, and social services"
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1998,,5240,14810,,Community and regional development
Housing & Community,Commerce and Housing,Exclusion of interest on rental housing bonds,1998,,40,110,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,1998,,,10,,International affairs
Commerce,Commerce and Housing,Exclusion of interest on small issue bonds,1998,,75,220,,GENERAL PURPOSE FISCAL ASSISTANCE
Education,"Education, training, employment, and social services",Exclusion of interest on student loan bonds,1998,,60,175,,Health
Veterans Benefits,Veterans' benefits and services,Exclusion of interest on veterans housing bonds,1998,,10,30,,"Education, training, employment, and social services"
Veterans Benefits,Income security,Exclusion of military disability pensions,1998,,,120,,
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1998,,,175,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1998,,,2030,,Commerce and housing credit
Housing & Community,"Education, training, employment, and social services",Exclusion of parsonage allowances,1998,,,315,,National defense
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1998,,,440,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1998,,,420,,Natural resources and environment
Transportation,Transportation,Exclusion of reimbursed employee parking expenses,1998,,,1560,,Energy
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1998,,,910,,Business investment
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1998,Exclusion of social security benefits: Benefits for disabled,,2265,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1998,,,16780,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1998,Exlcusion of social security benefits: Social Security benefits for dependents and survivors,,3725,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1998,,,85,,Community and regional development
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1998,Exclusion of veterans disability compensation,,2820,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1998,,,65,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1998,,,5140,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,Exemption of certain mutuals' and cooperatives' income,1998,,45,,,International affairs
Housing & Community,Commerce and Housing,Exemption of credit union income,1998,,785,,,Transportation
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1998,,10,55,,Interest
Food & Agriculture,Agriculture,Expensing of certain multiperiod production costs,1998,,10,70,,Commerce and housing credit
Commerce,Commerce and Housing,Expensing of certain small investments (normal tax method),1998,,805,380,,International affairs
Housing & Community,"Education, training, employment, and social services",Expensing of costs of removing certain architectural barriers to the handicapped,1998,,0,,,Commerce and housing
Housing & Community,Community and regional development,Expensing of environmental remediation costs,1998,,75,15,,Energy
Energy & Environment,Energy,"Expensing of exploration and development costs, fuels ",1998,,-90,-20,,Business investment
Energy & Environment,Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",1998,,20,5,,Commerce and housing
Energy & Environment,Natural resources and environment,Expensing of multiperiod timber growing costs,1998,,300,185,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1998,,255,5,,Agriculture
Commerce,Commerce and Housing,Graduated corporation income tax rate (normal tax method),1998,,5400,,,Business investment
Education,"Education, training, employment, and social services",HOPE tax credit,1998,,,200,,Health
Food & Agriculture,Agriculture,Income averaging for farmers,1998,,,10,,Health
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1998,,,5,,Commerce and housing credit
International affairs,International affairs,Inventory property sales source rules exception,1998,,1000,,,"Education, training, employment, and social services"
Energy & Environment,Natural resources and environment,Investment credit and seven-year amortization for reforestation expenditures,1998,,,10,,Health
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),1998,,15,15,,Income security
Education,"Education, training, employment, and social services",Lifetime Learning tax credit,1998,,,110,,Income security
Medicare & Health,Health,Medical Savings Accounts/ Health Savings Accounts,1998,Medical Savings Accounts,,15,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Individual Retirement Accounts,1998,,,10565,,Income security
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Keogh plans,1998,,,3930,,Energy
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1998,,,82215,,Energy
Energy & Environment,Energy,New technology credit,1998,,25,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Ordinary income treatment of loss from small business corporation stock sale,1998,,,35,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1998,,,875,,"Education, training, employment, and social services"
Medicare & Health,Health,Self-employed medical insurance premiums,1998,,,765,,Natural resources and environment
Housing & Community,Commerce and Housing,Small life insurance company deduction,1998,,100,,,Agriculture
Housing & Community,Commerce and Housing,Special alternative tax on small property and casualty insurance companies,1998,,5,,,
Medicare & Health,Health,Special Blue Cross/Blue Shield deduction,1998,,210,,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Special ESOP rules,1998,,660,260,,Commerce and housing credit
Education,"Education, training, employment, and social services",State prepaid tuition plans,1998,Deferral for State prepaid tuition plans,,85,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Step-up basis of capital gains at death,1998,,,24570,,Energy
Energy & Environment,Energy,Tax credit and deduction for clean-fuel burning vehicles,1998,,60,15,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,1998,,3960,,,Energy
Medicare & Health,Health,Tax credit for orphan drug research,1998,,40,,,Energy
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,1998,,,40,,
Commerce,Commerce and Housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,1998,,210,,,Income security
Energy & Environment,Natural resources and environment,Tax incentives for preservation of historic structures,1998,,175,40,,Income security
Food & Agriculture,Agriculture,Treatment of loans forgiven for solvent farmers,1998,,,10,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Welfare-to-work tax credit,1998,,15,0,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Work opportunity tax credit,1998,,145,25,,Income security
Medicare & Health,Health,Workers' compensation insurance premiums,1998,,,4260,,Energy
Housing & Community,Commerce and Housing,Accelerated depreciation of buildings other than rental housing (normal tax method),1999,,1195,465,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Accelerated depreciation of machinery and equipment (normal tax method),1999,,21100,5345,,Agriculture
Housing & Community,Commerce and Housing,Accelerated depreciation on rental housing (normal tax method),1999,,110,3600,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Additional deduction for the blind,1999,,,30,,Natural resources and environment
"Social Security, Unemployment & Labor",Income security,Additional deduction for the elderly,1999,,,1785,,Commerce and housing
Housing & Community,"Education, training, employment, and social services",Adoption credit and exclusion,1999,Adoption assistance,,125,,Income security
Energy & Environment,Energy,Alcohol fuel credit,1999,,10,5,,Transportation
Energy & Environment,Energy,Alternative fuel production credit,1999,,975,50,,General purpose fiscal assistance
Commerce,Commerce and Housing,Amortization of start-up costs (normal tax method),1999,,120,80,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Cancellation of indebtedness,1999,,,40,,Natural resources and environment
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1999,,,39405,,International affairs
Commerce,Commerce and Housing,Capital gains exclusion of small corporation stock,1999,,,5,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Capital gains exclusion on home sales,1999,,,18000,,Health
Commerce,Agriculture,Capital gains treatment of certain income,1999,,,635,,Commerce and housing
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1999,,,65,,
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1999,,,65,,
Housing & Community,Commerce and Housing,Carryover basis of capital gains on gifts,1999,,,175,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Child credit,1999,,,19435,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1999,,,2420,,Commerce and housing
Housing & Community,"Education, training, employment, and social services",Credit for disabled access expenditures,1999,,15,35,,Income security
Education,"Education, training, employment, and social services",Credit for holders of zone academy bonds,1999,,5,,,Energy
Science,"General science, space, and technology",Credit for increasing research activities,1999,,1675,30,,Income security
Housing & Community,Commerce and Housing,Credit for low-income housing investments,1999,,2115,705,,International affairs
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1999,,,255,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1999,,485,2040,,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),1999,,585,2090,,Natural resources and environment
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",1999,,600,18620,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1999,,,3695,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1999,,,56920,,"Education, training, employment, and social services"
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1999,,,37740,,International affairs
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1999,,,21215,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of student-loan interest,1999,,,240,,Energy
Food & Agriculture,Agriculture,Deferral of gain on sale of farm refiners,1999,,10,,,Health
Commerce,International affairs,Deferral of income from controlled foreign corporations,1999,,5800,,,Commerce and housing
Commerce,Commerce and Housing,Deferral of income from installment sales,1999,Deferral of income from post-1987 installment sales,260,735,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1999,,,1015,,Natural resources and environment
Transportation,Transportation,Deferral of tax on shipping companies,1999,,15,,,Income security
Commerce,International affairs,Deferred taxes for financial firms on certain income earned overseas,1999,,960,,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1999,,,4825,,Veterans benefits and services
Education,"Education, training, employment, and social services",Education Individual Retirement Accounts,1999,,,0,,Social Security
Education,"Education, training, employment, and social services",Employer provided child care exclusion,1999,Exclusion of employer provided child care,,645,,Income security
Housing & Community,Community and regional development,"Empowerment zones, the DC enterprise zone, and renewal communities",1999,Empowerment zones,150,180,,Income security
Energy & Environment,Energy,Enhanced oil recovery credit,1999,,205,20,,Social Security
Energy & Environment,Energy,Exception from passive loss limitation for working interests in oil and gas properties,1999,,,30,,Social Security
Housing & Community,Commerce and Housing,"Exception from passive loss rules for $25,000 of rental loss",1999,,,5315,,Income security
Housing & Community,Commerce and Housing,Exceptions from imputed interest rules,1999,,,160,,Social Security
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1999,,60,,,Income security
Energy & Environment,Energy,"Excess of percentage over cost depletion, fuels",1999,,220,45,,Transportation
Energy & Environment,Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",1999,,180,45,,Income security
Transportation,Transportation,Exclusion for employer-provided transit passes,1999,,,130,,Natural resources and environment
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1999,,,2120,,Health
International affairs,International affairs,Exclusion of certain allowances for Federal employees abroad,1999,,,635,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of certain foster care payments,1999,,,35,,Income security
Energy & Environment,Energy,Exclusion of conservation subsidies provided by public utilities,1999,Exclusion from income of conservation subsidies provided by public utilities,-5,90,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1999,,,650,,Commerce and housing
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1999,,,69610,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,1999,,,220,,Natural resources and environment
Veterans Benefits,Veterans' benefits and services,Exclusion of GI bill benefits,1999,,,75,,Income security
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1999,,,2330,,"Education, training, employment, and social services"
Commerce,International affairs,Exclusion of income of foreign sales corporations,1999,,3640,,,Commerce and housing
Housing & Community,Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",1999,,185,545,,GENERAL PURPOSE FISCAL ASSISTANCE
Education,"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,1999,,150,440,,Commerce and housing credit
Energy & Environment,Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",1999,,115,345,,Commerce and housing credit
Energy & Environment,Energy,Exclusion of interest on energy facility bonds,1999,,30,85,,Community and Regional Development
Medicare & Health,Health,Exclusion of interest on hospital construction bonds,1999,,305,905,,
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1999,,420,13500,,Energy
Housing & Community,Commerce and Housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,1999,,230,675,,"Education, training, employment, and social services"
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1999,,5735,17015,,Community and regional development
Housing & Community,Commerce and Housing,Exclusion of interest on rental housing bonds,1999,,40,115,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,1999,,,10,,International affairs
Commerce,Commerce and Housing,Exclusion of interest on small issue bonds,1999,,80,230,,GENERAL PURPOSE FISCAL ASSISTANCE
Education,"Education, training, employment, and social services",Exclusion of interest on student loan bonds,1999,,60,185,,Health
Veterans Benefits,Veterans' benefits and services,Exclusion of interest on veterans housing bonds,1999,,10,30,,"Education, training, employment, and social services"
Veterans Benefits,Income security,Exclusion of military disability pensions,1999,,,130,,
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1999,,,185,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1999,,,1700,,Commerce and housing credit
Housing & Community,"Education, training, employment, and social services",Exclusion of parsonage allowances,1999,,,320,,
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1999,,,345,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1999,,,395,,Natural resources and environment
Transportation,Transportation,Exclusion of reimbursed employee parking expenses,1999,,,1725,,Energy
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1999,,,1085,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1999,Exclusion of social security benefits: Benefits for disabled,,2390,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1999,,,17135,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1999,Exlcusion of social security benefits: Social Security benefits for dependents and survivors,,3775,,Community and regional development
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1999,,,75,,Community and regional development
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1999,Exclusion of veterans disability compensation,,2940,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1999,,,65,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1999,,,5185,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,Exemption of certain mutuals' and cooperatives' income,1999,,60,,,International affairs
Housing & Community,Commerce and Housing,Exemption of credit union income,1999,,1470,,,Transportation
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1999,,10,60,,Interest
Food & Agriculture,Agriculture,Expensing of certain multiperiod production costs,1999,,10,75,,Commerce and housing credit
Commerce,Commerce and Housing,Expensing of certain small investments (normal tax method),1999,,395,1070,,International affairs
Housing & Community,"Education, training, employment, and social services",Expensing of costs of removing certain architectural barriers to the handicapped,1999,,0,,,Agriculture
Housing & Community,Community and regional development,Expensing of environmental remediation costs,1999,,95,20,,Energy
Energy & Environment,Energy,"Expensing of exploration and development costs, fuels ",1999,,-70,-10,,Commerce and housing credit
Energy & Environment,Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",1999,,10,5,,Commerce and housing
Energy & Environment,Natural resources and environment,Expensing of multiperiod timber growing costs,1999,,305,190,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1999,,1855,35,,Agriculture
Commerce,Commerce and Housing,Graduated corporation income tax rate (normal tax method),1999,,6360,,,Commerce and housing credit
Education,"Education, training, employment, and social services",HOPE tax credit,1999,,,4595,,Commerce and housing
Food & Agriculture,Agriculture,Income averaging for farmers,1999,,,75,,Health
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1999,,0,,,Commerce and housing credit
International affairs,International affairs,Inventory property sales source rules exception,1999,,1050,,,"Education, training, employment, and social services"
Energy & Environment,Natural resources and environment,Investment credit and seven-year amortization for reforestation expenditures,1999,,,10,,Health
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),1999,,15,10,,Income security
Education,"Education, training, employment, and social services",Lifetime Learning tax credit,1999,,,2170,,General government
Medicare & Health,Health,Medical Savings Accounts/ Health Savings Accounts,1999,Medical Savings Accounts,,20,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Individual Retirement Accounts,1999,,,13350,,Income security
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Keogh plans,1999,,,5230,,Energy
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1999,,,83780,,Energy
Energy & Environment,Energy,New technology credit,1999,,45,5,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Ordinary income treatment of loss from small business corporation stock sale,1999,,,35,,Commerce and housing credit
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1999,,,915,,"Education, training, employment, and social services"
Medicare & Health,Health,Self-employed medical insurance premiums,1999,,,935,,Natural resources and environment
Housing & Community,Commerce and Housing,Small life insurance company deduction,1999,,100,,,Agriculture
Housing & Community,Commerce and Housing,Special alternative tax on small property and casualty insurance companies,1999,,5,,,Agriculture
Medicare & Health,Health,Special Blue Cross/Blue Shield deduction,1999,,245,,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Special ESOP rules,1999,,860,270,,Commerce and housing credit
Education,"Education, training, employment, and social services",State prepaid tuition plans,1999,Deferral for State prepaid tuition plans,,120,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Step-up basis of capital gains at death,1999,,,25800,,Energy
Energy & Environment,Energy,Tax credit and deduction for clean-fuel burning vehicles,1999,,70,15,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,1999,,2515,,,Energy
Medicare & Health,Health,Tax credit for orphan drug research,1999,,70,,,Energy
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,1999,,,35,,
Commerce,Commerce and Housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,1999,,220,,,Income security
Energy & Environment,Natural resources and environment,Tax incentives for preservation of historic structures,1999,,170,40,,Income security
Food & Agriculture,Agriculture,Treatment of loans forgiven for solvent farmers,1999,,,10,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Welfare-to-work tax credit,1999,,30,5,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Work opportunity tax credit,1999,,230,40,,Income security
Medicare & Health,Health,Workers' compensation insurance premiums,1999,,,4420,,Energy
Housing & Community,Commerce and Housing,Accelerated depreciation of buildings other than rental housing (normal tax method),2000,,1650,1610,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Accelerated depreciation of machinery and equipment (normal tax method),2000,,28020,2640,,Agriculture
Housing & Community,Commerce and Housing,Accelerated depreciation on rental housing (normal tax method),2000,,340,4400,,
"Social Security, Unemployment & Labor",Income security,Additional deduction for the blind,2000,,0,30,,Natural resources and environment
Housing & Community,"Education, training, employment, and social services",Adoption credit and exclusion,2000,Adoption assistance,0,120,,Income security
Energy & Environment,Energy,Alcohol fuel credit,2000,,10,10,,Health
Energy & Environment,Energy,Alternative fuel production credit,2000,,930,40,,General government
Commerce,Commerce and Housing,Amortization of start-up costs (normal tax method),2000,,120,80,,"Education, training, employment, and social services"
Housing & Community,"Education, training, employment, and social services",Assistance for adopted foster children,2000,,0,160,,Commerce and housing credit
Housing & Community,Commerce and Housing,Cancellation of indebtedness,2000,,0,30,,Natural resources and environment
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",2000,,0,40520,,International affairs
Commerce,Commerce and Housing,Capital gains exclusion of small corporation stock,2000,,0,40,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Capital gains exclusion on home sales,2000,,0,18540,,Health
Commerce,Agriculture,Capital gains treatment of certain income,2000,,0,700,,Commerce and housing
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,2000,,0,70,,Commerce and housing
Energy & Environment,Energy,Capital gains treatment of royalties on coal,2000,,0,70,,
Housing & Community,Commerce and Housing,Carryover basis of capital gains on gifts,2000,,0,180,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Child credit,2000,,0,19330,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,2000,,0,2390,,Commerce and housing
Housing & Community,"Education, training, employment, and social services",Credit for disabled access expenditures,2000,,10,30,,Income security
Education,"Education, training, employment, and social services",Credit for holders of zone academy bonds,2000,,10,0,,Energy
Science,"General science, space, and technology",Credit for increasing research activities,2000,,1620,10,,Income security
Housing & Community,Commerce and Housing,Credit for low-income housing investments,2000,,2410,800,,Income security
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,2000,,0,230,,Commerce and housing credit
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),2000,,600,2130,,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),2000,,730,2180,,Natural resources and environment
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",2000,,750,19400,,Income security
Medicare & Health,Health,Deductibility of medical expenses,2000,,0,4250,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,2000,,0,60270,,"Education, training, employment, and social services"
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,2000,,0,42650,,International affairs
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,2000,,0,22140,,Natural resources and environment
